seconds,mac,humidity,inside_temp,outside_temp,input_volt,output_volt,battery_back,water_leakage,water_logging
84,00:11:22:33:44:06,64,54,27,1.02,1.01,10.78,0,0
85,00:11:22:33:44:06,64,55,27,1.02,1.01,10.82,0,0
86,00:11:22:33:44:06,70,56,27,1.02,1.01,10.81,0,0
87,00:11:22:33:44:06,71,57,27,1.02,1.01,10.8,1,0
88,00:11:22:33:44:06,71,58,27,1.02,1.01,10.84,1,0
89,00:11:22:33:44:06,72,59,27,1.02,1.01,10.83,1,0
90,00:11:22:33:44:06,72,60,27.5,1.02,1.01,10.8,0,0
91,00:11:22:33:44:06,73,61,27.5,1.02,1.01,10.83,1,0
92,00:11:22:33:44:06,73,62,27.5,1.02,1.01,10.84,1,0
93,00:11:22:33:44:06,74,63,27.5,1.02,1.01,10.83,1,0
94,00:11:22:33:44:06,74,64,27.5,1.02,1.01,10.81,1,0
95,00:11:22:33:44:06,80,65,27.5,1.02,1.01,10.81,1,0
96,00:11:22:33:44:06,81,66,27.5,1.02,1.01,10.78,1,0
97,00:11:22:33:44:06,81,67,27.5,1.02,1.01,10.75,1,0
98,00:11:22:33:44:06,82,68,28,1.02,1.01,10.77,1,0
99,00:11:22:33:44:06,82,69,28,1.02,1.01,10.77,1,0
100,00:11:22:33:44:06,83,70,28,1.02,1.01,10.77,1,0
101,00:11:22:33:44:06,83,71,28,1.02,1.01,10.77,1,0
102,00:11:22:33:44:06,84,72,28,1.02,1.01,10.78,1,0
103,00:11:22:33:44:06,84,73,28,1.02,1.01,10.77,1,0
104,00:11:22:33:44:06,90,74,28,1.02,1.01,10.77,1,0
49,00:11:22:33:44:06,91,75,28,1.02,1.01,10.81,0,0
50,00:11:22:33:44:06,91,76,28.5,1.02,1.01,10.81,0,0
52,00:11:22:33:44:06,92,77,28.5,1.02,1.01,10.77,0,0
53,00:11:22:33:44:06,92,78,28.5,1.02,1.01,10.77,0,0
54,00:11:22:33:44:06,93,79,28.5,1.02,1.01,10.76,0,0
55,00:11:22:33:44:06,93,80,28.5,1.02,1.01,10.79,0,0
56,00:11:22:33:44:06,94,81,28.5,1.02,1.01,10.8,0,0
57,00:11:22:33:44:06,94,82,28.5,1.02,1.01,10.8,0,0
58,00:11:22:33:44:06,100,83,29,1.02,1.01,10.77,0,0
59,00:11:22:33:44:06,101,84,29,1.02,1.01,10.73,0,0
60,00:11:22:33:44:06,101,85,29,1.02,1.01,10.77,1,0
61,00:11:22:33:44:06,102,86,29,1.02,1.01,10.73,1,0
62,00:11:22:33:44:06,102,87,29,1.02,1.01,10.75,1,0
63,00:11:22:33:44:06,103,88,29,1.02,1.01,10.71,1,0
64,00:11:22:33:44:06,103,89,29,1.02,1.01,10.68,1,0
65,00:11:22:33:44:06,104,90,30,1.02,1.01,10.67,0,0
66,00:11:22:33:44:06,104,91,30,1.02,1.01,10.7,0,0
67,00:11:22:33:44:06,110,92,30,1.02,1.01,10.75,0,0
68,00:11:22:33:44:06,111,93,30,1.02,1.01,10.75,0,0
69,00:11:22:33:44:06,111,94,30,1.02,1.01,10.76,0,0
71,00:11:22:33:44:06,112,95,30,1.02,1.01,10.75,0,0
72,00:11:22:33:44:06,112,96,30,1.02,1.01,10.76,0,0
73,00:11:22:33:44:06,113,97,30,1.02,1.01,10.79,0,0
74,00:11:22:33:44:06,113,98,31,1.02,1.01,10.8,0,0
75,00:11:22:33:44:06,114,99,31,1.02,1.01,10.8,0,0
76,00:11:22:33:44:06,114,100,31,1.02,1.01,10.76,0,0
77,00:11:22:33:44:06,120,101,31,1.02,1.01,10.72,0,0
78,00:11:22:33:44:06,121,102,31,1.02,1.01,10.75,0,0
79,00:11:22:33:44:06,121,103,31,1.02,1.01,10.72,0,0
80,00:11:22:33:44:06,122,104,31,1.02,1.01,10.75,0,0
81,00:11:22:33:44:06,52.3,105,31,1.02,1.01,10.75,0,0
82,00:11:22:33:44:06,52.2,106,31,1.02,1.01,10.73,0,0
83,00:11:22:33:44:06,52.3,107,31,1.02,1.01,10.7,0,0
84,00:11:22:33:44:06,52.3,108,31,1.02,1.01,10.73,0,0
85,00:11:22:33:44:06,52.3,109,31,1.02,1.01,10.73,0,0
86,00:11:22:33:44:06,52.2,110,31,1.02,1.01,10.73,0,0
87,00:11:22:33:44:06,52.3,111,31,1.02,1.01,10.77,0,0
88,00:11:22:33:44:02,52.3,112,31,1.02,1.01,10.73,0,0
89,00:11:22:33:44:05,52.3,113,31,1.02,1.01,10.74,0,0
91,00:11:22:33:44:05,52.2,114,31,1.02,1.01,10.77,0,0
92,00:11:22:33:44:01,52.2,115,31,1.02,1.01,10.78,0,0
93,00:11:22:33:44:08,52.2,116,31,1.02,1.01,10.78,0,0
94,00:11:22:33:44:03,52.2,117,31,1.02,1.01,10.82,0,0
95,00:11:22:33:44:02,52.2,118,31,1.02,1.01,10.78,0,0
96,00:11:22:33:44:07,52.3,119,31,1.02,1.01,10.78,0,0
97,00:11:22:33:44:02,52.3,120,31,1.02,1.01,10.81,0,0
98,00:11:22:33:44:02,52.3,121,31,1.02,1.01,10.81,0,0
99,00:11:22:33:44:09,52.3,122,31,1.02,1.01,10.77,0,0
100,00:11:22:33:44:06,52.3,123,31.5,1.02,1.01,10.81,0,0
101,00:11:22:33:44:05,52.3,124,31.5,1.02,1.01,10.78,0,0
102,00:11:22:33:44:08,52.3,125,31.43,1.02,1.01,10.74,0,0
103,00:11:22:33:44:07,52.3,126,31.45,1.02,1.01,10.75,0,0
104,00:11:22:33:44:00,52.3,127,31.34,1.02,1.01,10.72,0,0
105,00:11:22:33:44:03,52.3,128,31.38,1.02,1.01,10.69,0,0
106,00:11:22:33:44:00,52.3,129,31.34,1.02,1.01,10.69,0,0
107,00:11:22:33:44:03,52.3,130,31.2,1.02,1.01,10.7,0,0
108,00:11:22:33:44:01,52.4,131,31.22,1.02,1.01,10.69,0,0
110,00:11:22:33:44:08,52.4,132,31.22,1.02,1.01,10.72,0,0
111,00:11:22:33:44:05,52.4,133,31.29,1.02,1.01,10.72,0,0
112,00:11:22:33:44:02,52.4,134,31.31,1.02,1.01,10.71,0,0
113,00:11:22:33:44:02,52.4,135,31.43,1.02,1.01,10.71,0,0
114,00:11:22:33:44:05,52.4,136,31.43,1.02,1.01,10.74,0,0
115,00:11:22:33:44:09,52.4,137,31.45,1.02,1.01,10.74,0,0
116,00:11:22:33:44:04,52.4,138,31.57,1.02,1.01,10.76,0,0
117,00:11:22:33:44:05,52.3,139,31.57,1.02,1.01,10.76,0,0
118,00:11:22:33:44:06,52.3,140,31.59,1.02,1.01,10.74,0,0
119,00:11:22:33:44:09,52.3,141,31.5,1.02,1.01,10.78,0,0
120,00:11:22:33:44:05,52.3,142,31.57,1.02,1.01,10.8,0,0
121,00:11:22:33:44:06,52.3,143,31.48,1.02,1.01,10.84,0,0
122,00:11:22:33:44:07,52.4,144,31.48,1.02,1.01,10.8,0,0
123,00:11:22:33:44:05,52.3,145,31.45,1.02,1.01,10.77,0,0
124,00:11:22:33:44:06,52.3,146,31.41,1.02,1.01,10.77,0,0
125,00:11:22:33:44:00,52.3,147,31.52,1.02,1.01,10.75,0,0
126,00:11:22:33:44:06,52.3,148,31.43,1.02,1.01,10.76,0,1
127,00:11:22:33:44:00,52.4,149,31.38,1.02,1.01,10.74,0,1
129,00:11:22:33:44:02,52.4,150,31.29,1.02,1.01,10.76,0,1
130,00:11:22:33:44:00,52.4,151,31.41,1.02,1.01,10.72,0,1
131,00:11:22:33:44:04,52.4,152,31.45,1.02,1.01,10.72,0,1
132,00:11:22:33:44:01,52.3,153,31.48,1.02,1.01,10.76,0,1
133,00:11:22:33:44:01,52.3,154,31.52,1.02,1.01,10.76,0,1
134,00:11:22:33:44:09,52.3,155,31.48,1.02,1.01,10.75,0,1
135,00:11:22:33:44:09,52.3,156,31.57,1.02,1.01,10.72,0,1
136,00:11:22:33:44:07,52.3,157,31.64,1.02,1.01,10.74,1,1
137,00:11:22:33:44:08,52.3,158,31.74,1.02,1.01,10.72,1,1
138,00:11:22:33:44:03,52.3,159,31.74,1.02,1.01,10.76,1,1
139,00:11:22:33:44:07,52.4,160,31.71,1.02,1.01,10.75,1,1
140,00:11:22:33:44:02,52.3,161,31.83,1.02,1.01,10.75,1,1
141,00:11:22:33:44:02,52.4,162,31.83,1.02,1.01,10.76,1,1
142,00:11:22:33:44:01,52.4,163,31.88,1.02,1.01,10.79,1,1
143,00:11:22:33:44:06,52.4,164,31.85,1.02,1.01,10.82,1,1
144,00:11:22:33:44:01,52.4,165,31.88,1.02,1.01,10.82,1,1
145,00:11:22:33:44:08,52.3,166,31.88,1.02,1.01,10.84,1,1
146,00:11:22:33:44:01,52.3,167,31.88,1.02,1.01,10.8,1,1
147,00:11:22:33:44:07,52.3,168,31.85,1.02,1.01,10.81,1,1
149,00:11:22:33:44:09,52.3,169,31.74,1.02,1.01,10.81,1,1
150,00:11:22:33:44:02,52.3,170,31.64,1.02,1.01,10.81,1,1
151,00:11:22:33:44:05,52.3,171,31.57,1.02,1.01,10.81,1,1
152,00:11:22:33:44:09,52.3,172,31.55,1.02,1.01,10.77,1,1
153,00:11:22:33:44:05,52.3,173,31.55,1.02,1.01,10.77,0,1
154,00:11:22:33:44:06,52.3,174,31.45,1.02,1.01,10.73,0,1
155,00:11:22:33:44:06,52.3,175,31.34,1.02,1.01,10.76,0,1
156,00:11:22:33:44:07,52.3,176,31.36,1.02,1.01,10.8,0,1
157,00:11:22:33:44:08,52.3,177,31.31,1.02,1.01,10.76,0,1
158,00:11:22:33:44:06,52.3,178,31.38,1.02,1.01,10.72,0,1
159,00:11:22:33:44:01,52.3,179,31.36,1.02,1.01,10.72,0,0
160,00:11:22:33:44:07,52.3,180,31.43,1.02,1.01,10.76,0,0
161,00:11:22:33:44:02,52.3,181,31.45,1.02,1.01,10.74,0,0
162,00:11:22:33:44:02,52.3,182,31.57,1.02,1.01,10.75,0,0
163,00:11:22:33:44:04,52.3,183,31.69,1.02,1.01,10.73,0,0
164,00:11:22:33:44:08,52.3,184,31.74,1.02,1.01,10.71,0,0
165,00:11:22:33:44:08,52.3,185,31.71,1.02,1.01,10.72,0,0
166,00:11:22:33:44:04,52.3,186,31.74,1.02,1.01,10.71,0,0
168,00:11:22:33:44:08,52.3,187,31.76,1.02,1.01,10.71,0,0
169,00:11:22:33:44:08,52.3,188,31.66,1.02,1.01,10.7,0,0
170,00:11:22:33:44:01,52.3,189,31.64,1.02,1.01,10.72,0,0
171,00:11:22:33:44:05,52.3,190,31.62,1.02,1.01,10.74,0,0
172,00:11:22:33:44:04,52.3,191,31.62,1.02,1.01,10.75,0,0
173,00:11:22:33:44:00,52.4,192,31.64,1.02,1.01,10.73,0,0
174,00:11:22:33:44:03,52.3,193,31.66,1.02,1.01,10.73,0,0
175,00:11:22:33:44:07,52.3,194,31.57,1.02,1.01,10.73,0,0
176,00:11:22:33:44:01,52.3,195,31.55,1.02,1.01,10.73,0,0
177,00:11:22:33:44:00,52.3,196,31.52,1.02,1.01,10.72,0,0
178,00:11:22:33:44:07,52.3,197,31.5,1.02,1.01,10.7,0,0
179,00:11:22:33:44:04,52.3,198,31.45,1.02,1.01,10.69,0,0
180,00:11:22:33:44:01,52.4,199,31.36,1.02,1.01,10.67,0,0
181,00:11:22:33:44:09,52.4,200,31.24,1.02,1.01,10.67,0,0
182,00:11:22:33:44:04,52.4,201,31.36,1.02,1.01,10.7,0,0
183,00:11:22:33:44:00,52.3,202,31.36,1.02,1.01,10.72,0,0
184,00:11:22:33:44:03,52.3,203,31.48,1.02,1.01,10.72,0,0
185,00:11:22:33:44:07,52.3,204,31.52,1.02,1.01,10.72,0,0
187,00:11:22:33:44:00,52.3,205,31.52,1.02,1.01,10.7,0,0
188,00:11:22:33:44:08,52.3,206,31.55,1.02,1.01,10.69,0,0
189,00:11:22:33:44:03,52.3,207,31.52,1.02,1.01,10.71,0,0
190,00:11:22:33:44:08,52.3,208,31.69,1.02,1.01,10.71,0,0
191,00:11:22:33:44:08,52.3,209,31.64,1.02,1.01,10.7,0,0
192,00:11:22:33:44:00,52.3,210,31.74,1.02,1.01,10.69,0,0
193,00:11:22:33:44:04,52.3,211,31.69,1.02,1.01,10.65,0,0
194,00:11:22:33:44:08,52.3,212,31.62,1.02,1.01,10.67,0,0
195,00:11:22:33:44:04,52.3,213,31.74,1.02,1.01,10.67,0,0
196,00:11:22:33:44:08,52.3,214,31.71,1.02,1.01,10.69,0,0
197,00:11:22:33:44:04,52.3,215,31.9,1.02,1.01,10.68,0,0
198,00:11:22:33:44:07,52.3,216,31.83,1.02,1.01,10.72,0,0
199,00:11:22:33:44:07,52.3,217,31.78,1.02,1.01,10.68,0,0
200,00:11:22:33:44:00,52.3,218,31.78,1.02,1.01,10.68,0,0
201,00:11:22:33:44:04,52.3,219,31.74,1.02,1.01,10.72,0,0
202,00:11:22:33:44:00,52.3,220,31.81,1.02,1.01,10.7,0,0
203,00:11:22:33:44:00,52.3,221,31.81,1.02,1.01,10.7,0,0
204,00:11:22:33:44:03,52.3,222,31.83,1.02,1.01,10.71,0,0
205,00:11:22:33:44:01,52.3,223,31.71,1.02,1.01,10.72,0,0
207,00:11:22:33:44:09,52.3,224,31.88,1.02,1.01,10.69,0,0
208,00:11:22:33:44:01,52.3,225,31.88,1.02,1.01,10.69,0,0
209,00:11:22:33:44:09,52.3,226,31.85,1.02,1.01,10.69,0,0
210,00:11:22:33:44:03,52.3,227,31.85,1.02,1.01,10.66,0,0
211,00:11:22:33:44:02,52.2,228,31.78,1.02,1.01,10.71,0,0
212,00:11:22:33:44:07,52.3,229,31.76,1.02,1.01,10.73,1,0
213,00:11:22:33:44:01,52.3,230,31.78,1.02,1.01,10.72,1,0
214,00:11:22:33:44:04,52.3,231,31.83,1.02,1.01,10.73,1,0
215,00:11:22:33:44:09,52.3,232,31.64,1.02,1.01,10.72,1,0
216,00:11:22:33:44:03,52.3,233,31.71,1.02,1.01,10.76,1,0
217,00:11:22:33:44:09,52.3,234,31.66,1.02,1.01,10.8,1,0
218,00:11:22:33:44:00,52.3,235,31.66,1.02,1.01,10.82,1,0
219,00:11:22:33:44:03,52.3,236,31.76,1.02,1.01,10.79,1,0
220,00:11:22:33:44:01,52.3,237,31.81,1.02,1.01,10.76,1,0
221,00:11:22:33:44:00,52.3,238,31.62,1.02,1.01,10.77,1,0
222,00:11:22:33:44:09,52.3,239,31.62,1.02,1.01,10.77,1,0
223,00:11:22:33:44:02,52.3,240,31.62,1.02,1.01,10.77,1,0
224,00:11:22:33:44:00,52.3,241,31.59,1.02,1.01,10.75,1,0
226,00:11:22:33:44:06,52.3,242,31.64,1.02,1.01,10.75,1,0
227,00:11:22:33:44:09,52.3,243,31.62,1.02,1.01,10.75,1,0
228,00:11:22:33:44:07,52.3,244,31.5,1.02,1.01,10.77,1,0
229,00:11:22:33:44:08,52.3,245,31.36,1.02,1.01,10.78,1,0
230,00:11:22:33:44:05,52.3,246,31.52,1.02,1.01,10.77,1,0
231,00:11:22:33:44:05,52.3,247,31.52,1.02,1.01,10.78,1,0
232,00:11:22:33:44:01,52.3,248,31.52,1.02,1.01,10.79,1,0
233,00:11:22:33:44:03,52.3,249,31.5,1.02,1.01,10.8,1,0
234,00:11:22:33:44:05,52.3,250,31.43,1.02,1.01,10.8,1,0
235,00:11:22:33:44:07,52.3,251,31.43,1.02,1.01,10.77,1,0
236,00:11:22:33:44:07,52.2,252,31.48,1.02,1.01,10.77,1,0
237,00:11:22:33:44:01,52.3,253,31.5,1.02,1.01,10.76,1,0
238,00:11:22:33:44:09,52.2,254,31.38,1.02,1.01,10.76,1,0
239,00:11:22:33:44:02,52.2,255,31.27,1.02,1.01,10.77,1,0
240,00:11:22:33:44:08,52.2,256,31.27,1.02,1.01,10.81,1,0
241,00:11:22:33:44:03,52.2,257,31.27,1.02,1.01,10.81,1,0
242,00:11:22:33:44:02,52.2,258,31.31,1.02,1.01,10.82,1,0
243,00:11:22:33:44:01,52.3,259,31.36,1.02,1.01,10.85,1,0
245,00:11:22:33:44:04,52.3,260,31.41,1.02,1.01,10.81,1,0
246,00:11:22:33:44:03,52.3,261,31.48,1.02,1.01,10.85,1,0
247,00:11:22:33:44:01,52.3,262,31.59,1.02,1.01,10.83,1,0
248,00:11:22:33:44:06,52.3,263,31.62,1.02,1.01,10.79,1,0
249,00:11:22:33:44:05,52.3,264,31.57,1.02,1.01,10.75,1,0
250,00:11:22:33:44:06,52.3,265,31.62,1.02,1.01,10.75,1,0
251,00:11:22:33:44:03,52.3,266,31.62,1.02,1.01,10.73,1,0
252,00:11:22:33:44:06,52.3,267,31.62,1.02,1.01,10.7,1,0
253,00:11:22:33:44:03,52.3,268,31.66,1.02,1.01,10.7,1,0
254,00:11:22:33:44:04,52.3,269,31.59,1.02,1.01,10.7,1,0
255,00:11:22:33:44:06,52.3,270,31.52,1.02,1.01,10.7,1,0
256,00:11:22:33:44:02,52.3,271,31.41,1.02,1.01,10.73,1,0
257,00:11:22:33:44:00,52.3,272,31.43,1.02,1.01,10.78,1,0
258,00:11:22:33:44:03,52.3,273,31.48,1.02,1.01,10.78,1,0
259,00:11:22:33:44:09,52.3,274,31.52,1.02,1.01,10.78,1,0
260,00:11:22:33:44:01,52.3,275,31.45,1.02,1.01,10.82,1,0
261,00:11:22:33:44:00,52.3,276,31.38,1.02,1.01,10.85,1,0
262,00:11:22:33:44:09,52.3,277,31.38,1.02,1.01,10.86,1,0
263,00:11:22:33:44:04,52.3,278,31.62,1.02,1.01,10.84,1,0
265,00:11:22:33:44:02,52.3,279,31.81,1.02,1.01,10.83,1,0
266,00:11:22:33:44:03,52.3,280,31.83,1.02,1.01,10.82,1,0
267,00:11:22:33:44:03,52.3,281,31.83,1.02,1.01,10.78,1,0
268,00:11:22:33:44:08,52.3,282,31.92,1.02,1.01,10.8,1,0
269,00:11:22:33:44:05,52.3,283,31.97,1.02,1.01,10.8,1,0
270,00:11:22:33:44:00,52.3,284,31.99,1.02,1.01,10.8,0,0
271,00:11:22:33:44:07,52.3,285,32.04,1.02,1.01,10.79,0,0
272,00:11:22:33:44:04,52.3,286,31.88,1.02,1.01,10.83,0,0
273,00:11:22:33:44:08,52.3,287,31.76,1.02,1.01,10.8,0,0
274,00:11:22:33:44:07,52.3,288,31.78,1.02,1.01,10.78,0,0
275,00:11:22:33:44:07,52.3,289,31.81,1.02,1.01,10.81,0,0
276,00:11:22:33:44:05,52.3,290,31.66,1.02,1.01,10.78,0,0
277,00:11:22:33:44:03,52.3,291,31.66,1.02,1.01,10.78,0,0
278,00:11:22:33:44:06,52.3,292,31.69,1.02,1.01,10.78,0,0
279,00:11:22:33:44:07,52.3,293,31.64,1.02,1.01,10.74,0,0
280,00:11:22:33:44:05,52.4,294,31.59,1.02,1.01,10.73,0,0
281,00:11:22:33:44:01,52.4,295,31.59,1.02,1.01,10.77,0,0
282,00:11:22:33:44:05,52.3,296,31.59,1.02,1.01,10.79,0,0
284,00:11:22:33:44:06,52.3,297,31.52,1.02,1.01,10.76,0,0
285,00:11:22:33:44:04,52.3,298,31.52,1.02,1.01,10.75,0,0
286,00:11:22:33:44:05,52.3,299,31.41,1.02,1.01,10.75,0,0
287,00:11:22:33:44:02,52.3,300,31.38,1.02,1.01,10.75,0,0
288,00:11:22:33:44:02,52.3,301,31.36,1.02,1.01,10.8,1,0
289,00:11:22:33:44:00,52.3,302,31.41,1.02,1.01,10.8,1,0
290,00:11:22:33:44:05,52.3,303,31.48,1.02,1.01,10.8,1,0
291,00:11:22:33:44:06,52.3,304,31.48,1.02,1.01,10.8,1,0
292,00:11:22:33:44:01,52.3,305,31.48,1.02,1.01,10.8,1,0
293,00:11:22:33:44:02,52.3,306,31.45,1.02,1.01,10.84,1,0
294,00:11:22:33:44:08,52.3,307,31.69,1.02,1.01,10.84,1,0
295,00:11:22:33:44:04,52.3,308,31.71,1.02,1.01,10.8,1,0
296,00:11:22:33:44:07,52.3,309,31.78,1.02,1.01,10.8,1,0
297,00:11:22:33:44:00,52.3,310,31.81,1.02,1.01,10.79,1,0
298,00:11:22:33:44:00,52.3,311,31.81,1.02,1.01,10.76,1,0
299,00:11:22:33:44:08,52.3,312,31.81,1.02,1.01,10.76,1,0
300,00:11:22:33:44:05,52.3,313,31.74,1.02,1.01,10.79,1,0
301,00:11:22:33:44:02,52.3,314,31.81,1.02,1.01,10.75,1,0
303,00:11:22:33:44:00,52.3,315,31.64,1.02,1.01,10.72,1,0
304,00:11:22:33:44:09,52.3,316,31.62,1.02,1.01,10.72,1,0
305,00:11:22:33:44:04,52.3,317,31.64,1.02,1.01,10.69,1,0
306,00:11:22:33:44:08,52.3,318,31.57,1.02,1.01,10.66,1,0
307,00:11:22:33:44:03,52.3,319,31.45,1.02,1.01,10.65,1,0
308,00:11:22:33:44:03,52.3,320,31.48,1.02,1.01,10.65,1,0
309,00:11:22:33:44:09,52.3,321,31.62,1.02,1.01,10.66,1,0
310,00:11:22:33:44:06,52.3,322,31.59,1.02,1.01,10.69,1,0
311,00:11:22:33:44:03,52.3,323,31.74,1.02,1.01,10.7,1,0
312,00:11:22:33:44:06,52.3,324,31.69,1.02,1.01,10.7,0,0
313,00:11:22:33:44:09,52.3,325,31.69,1.02,1.01,10.73,0,0
314,00:11:22:33:44:03,52.3,326,31.74,1.02,1.01,10.75,0,0
315,00:11:22:33:44:07,52.4,327,31.85,1.02,1.01,10.79,0,0
316,00:11:22:33:44:03,52.4,328,31.76,1.02,1.01,10.76,0,0
317,00:11:22:33:44:00,52.3,329,31.71,1.02,1.01,10.72,0,0
318,00:11:22:33:44:04,52.3,330,31.66,1.02,1.01,10.69,0,0
319,00:11:22:33:44:01,52.3,331,31.55,1.02,1.01,10.69,0,0
320,00:11:22:33:44:00,52.3,332,31.62,1.02,1.01,10.69,0,0
321,00:11:22:33:44:01,52.3,333,31.59,1.02,1.01,10.68,0,0
323,00:11:22:33:44:08,52.3,334,31.55,1.02,1.01,10.69,0,0
324,00:11:22:33:44:09,52.3,335,31.55,1.02,1.01,10.69,0,0
325,00:11:22:33:44:07,52.3,336,31.66,1.02,1.01,10.68,0,0
326,00:11:22:33:44:01,52.3,337,31.69,1.02,1.01,10.72,0,0
327,00:11:22:33:44:01,52.3,338,31.76,1.02,1.01,10.71,0,0
328,00:11:22:33:44:03,52.3,339,31.74,1.02,1.01,10.71,0,0
329,00:11:22:33:44:04,52.3,340,31.74,1.02,1.01,10.73,0,0
330,00:11:22:33:44:08,52.3,341,31.71,1.02,1.01,10.73,0,0
331,00:11:22:33:44:05,52.3,342,31.74,1.02,1.01,10.71,0,0
332,00:11:22:33:44:05,52.3,343,31.71,1.02,1.01,10.71,0,0
333,00:11:22:33:44:08,52.3,344,31.66,1.02,1.01,10.73,0,0
334,00:11:22:33:44:03,52.3,345,31.69,1.02,1.01,10.73,0,0
335,00:11:22:33:44:08,52.3,346,31.59,1.02,1.01,10.73,0,0
336,00:11:22:33:44:02,52.3,347,31.62,1.02,1.01,10.75,1,0
337,00:11:22:33:44:02,52.3,348,31.71,1.02,1.01,10.72,1,0
338,00:11:22:33:44:09,52.3,349,31.76,1.02,1.01,10.71,1,0
339,00:11:22:33:44:03,52.3,350,31.78,1.02,1.01,10.72,1,0
340,00:11:22:33:44:03,52.3,351,31.76,1.02,1.01,10.72,1,0
342,00:11:22:33:44:07,52.3,352,31.76,1.02,1.01,10.75,0,0
343,00:11:22:33:44:02,52.3,353,31.66,1.02,1.01,10.73,0,0
344,00:11:22:33:44:06,52.3,354,31.69,1.02,1.01,10.73,0,0
345,00:11:22:33:44:08,52.3,355,31.71,1.02,1.01,10.72,0,0
346,00:11:22:33:44:08,52.3,356,31.59,1.02,1.01,10.72,0,0
347,00:11:22:33:44:02,52.2,357,31.57,1.02,1.01,10.7,0,0
348,00:11:22:33:44:08,52.2,358,31.48,1.02,1.01,10.69,0,0
349,00:11:22:33:44:06,52.2,359,31.5,1.02,1.01,10.69,0,0
350,00:11:22:33:44:06,52.3,360,31.45,1.02,1.01,10.69,0,0
351,00:11:22:33:44:06,52.3,361,31.5,1.02,1.01,10.69,0,0
352,00:11:22:33:44:05,52.3,362,31.55,1.02,1.01,10.72,0,0
353,00:11:22:33:44:03,52.3,363,31.45,1.02,1.01,10.72,0,0
354,00:11:22:33:44:01,52.3,364,31.45,1.02,1.01,10.75,0,0
355,00:11:22:33:44:09,52.3,365,31.48,1.02,1.01,10.76,0,0
356,00:11:22:33:44:07,52.3,366,31.59,1.02,1.01,10.75,0,0
357,00:11:22:33:44:02,52.3,367,31.5,1.02,1.01,10.76,0,0
358,00:11:22:33:44:02,52.3,368,31.45,1.02,1.01,10.73,0,0
359,00:11:22:33:44:08,52.3,369,31.41,1.02,1.01,10.72,0,0
361,00:11:22:33:44:04,52.3,370,31.34,1.02,1.01,10.73,0,0
362,00:11:22:33:44:04,52.3,371,31.34,1.02,1.01,10.77,0,0
363,00:11:22:33:44:03,52.3,372,31.36,1.02,1.01,10.74,0,0
364,00:11:22:33:44:06,52.2,373,31.38,1.02,1.01,10.76,0,0
365,00:11:22:33:44:09,52.2,374,31.41,1.02,1.01,10.8,0,0
366,00:11:22:33:44:03,52.2,375,31.5,1.02,1.01,10.79,0,0
367,00:11:22:33:44:00,52.2,376,31.41,1.02,1.01,10.82,0,0
368,00:11:22:33:44:02,52.2,377,31.5,1.02,1.01,10.83,0,0
369,00:11:22:33:44:00,52.2,378,31.55,1.02,1.01,10.8,0,0
370,00:11:22:33:44:00,52.2,379,31.64,1.02,1.01,10.8,0,0
371,00:11:22:33:44:09,52.2,380,31.71,1.02,1.01,10.83,0,0
372,00:11:22:33:44:09,52.2,381,31.71,1.02,1.01,10.81,0,0
